County,5figgrid,x,y,,,6figgrid,,dum_x,dum_y,gamecov_present,gamecov_poss,gamecov_absent,Advert_presence,Advert_details,gamebird_breed,gamebird_winter,pheasant_breed,pheasant_wint,rlp_breed,rlp_wint,APHA_rel_ph&rlp,logAPHA_rel_ph&rlp,APHA_rel_present,broad_wood,conif_wood,arable,imp_grass,semnat_grass,mountain,saltwater,freshwater,coastal,built_up,habitat_div_shannon
Devon,SS21D,220,116,220,116,220116,220116,220500,116500,0,0,1,0,,0,0,0,0,0,0,0,0,0,5.75,0,16.25,27.75,1.5,5.5,0,0,15,1,1.368368623
Devon,SS21E,220,118,220,118,220118,220118,220500,118500,0,0,1,0,,2,1,2,1,0,0,0,0,0,6.75,0,2.25,11.75,0,9.75,0,0,10.5,0.75,1.019245401
Devon,SS22A,220,120,220,120,220120,220120,220500,120500,0,0,1,0,,2,3,2,3,0,0,0,0,0,0,0,3.5,0.75,0,4.25,0,0,5.75,0,0.452474615
Devon,SS21I,222,116,222,116,222116,222116,222500,116500,0,0,1,0,,2,0,2,0,0,0,0,0,0,31.75,0,12,52.5,0,0,0,0,0,3.5,1.074313904
Devon,SS21J,222,118,222,118,222118,222118,222500,118500,0,0,1,0,,5,2,4,2,1,0,0,0,0,25.25,0,29.25,43,0,1,0,0,0,1.5,1.17904878
Devon,SS22F,222,120,222,120,222120,222120,222500,120500,0,0,1,0,,6,2,4,2,2,0,0,0,0,2.5,0,64.25,22.25,0,4.25,0,0,3.75,2,1.046430017
Devon,SS22G,222,122,222,122,222122,222122,222500,122500,0,0,1,0,,5,2,3,2,2,0,0,0,0,7.75,0,20.25,42.75,0,3.25,0,0,17.25,0.75,1.336092432
Devon,SS22H,222,124,222,124,222124,222124,222500,124500,0,0,1,0,,2,0,2,0,0,0,0,0,0,6.5,0,19.75,34,0,5.75,0,0,18.25,2.5,1.431686215
Devon,SS22I,222,126,222,126,222126,222126,222500,126500,0,0,1,0,,2,2,2,2,0,0,0,0,0,1.25,0,20.75,19.5,0,7.75,0,0,14.25,0.75,1.212421944
Devon,SS20K,224,100,224,100,224100,224100,224500,100500,0,0,1,0,,0,2,0,2,0,0,0,0,0,13.75,0,4.75,80,0,0,0,0,0,2,0.674307078
Devon,SS20L,224,102,224,102,224102,224102,224500,102500,0,0,1,0,,2,2,2,2,0,0,0,0,0,1.75,0,14.75,83.75,0,0,0,0,0,0.25,0.516597349
Devon,SS21N,224,116,224,116,224116,224116,224500,116500,0,0,1,0,,3,3,3,3,0,0,0,0,0,23.25,0,4.75,70.5,0,0,0,0,0,1.25,0.785133193
Devon,SS21P,224,118,224,118,224118,224118,224500,118500,3,0,0,0,,4,6,4,5,0,1,0,0,0,13,0,22.5,59.25,0,4.5,0,0,0,0.75,1.087213733
Devon,SS22K,224,120,224,120,224120,224120,224500,120500,0,0,1,0,,3,0,2,0,1,0,0,0,0,4.25,0,22.25,67.75,0,4.75,0,0,0,1.25,0.931895723
Devon,SS22L,224,122,224,122,224122,224122,224500,122500,0,0,1,0,,6,7,5,5,1,2,0,0,0,6.75,0,28.75,62.75,0,0,0,0,0,1.75,0.903552425
Devon,SS22M,224,124,224,124,224124,224124,224500,124500,4,2,0,0,,3,4,3,4,0,0,0,0,0,19.5,0.25,28.25,48.75,0,0.25,0,0,0,3.25,1.16744979
Devon,SS22N,224,126,224,126,224126,224126,224500,126500,0,0,1,0,,3,3,3,3,0,0,0,0,0,1.25,0,33.75,32.75,0,6.25,0,0,7,1,1.192428595
Devon,SS20Q,226,100,226,100,226100,226100,226500,100500,0,0,1,0,,3,2,3,2,0,0,0,0,0,9.5,0,21.5,67,0,0.25,0,0,0,2,0.915637747
Devon,SS20R,226,102,226,102,226102,226102,226500,102500,0,0,1,0,,3,0,3,0,0,0,0,0,0,2.5,1.75,10.25,79,0,0,0,0,0,6.5,0.760392732
Devon,SS20S,226,104,226,104,226104,226104,226500,104500,0,0,1,0,,3,0,3,0,0,0,0,0,0,5,2.25,10.5,80.25,0,0,0,0,0,2.25,0.733744678
Devon,SS20T,226,106,226,106,226106,226106,226500,106500,0,#N/A,1,0,,3,0,3,0,0,0,0,0,0,6.25,0.5,13,74,0,4.5,0,0,0,1.75,0.898171236
Devon,SS21S,226,114,226,114,226114,226114,226500,114500,0,0,1,0,,2,4,2,4,0,0,0,0,0,2.75,5.5,9.75,80.25,0,0.75,0,0,0,0.75,0.735278485
Devon,SS21T,226,116,226,116,226116,226116,226500,116500,0,0,1,0,,3,2,3,2,0,0,0,0,0,2.25,10.25,14,57.75,0,14.25,0,0,0,2,1.267074079
Devon,SS21U,226,118,226,118,226118,226118,226500,118500,2,0,0,0,,3,2,3,2,0,0,0,0,0,5.75,12,5.25,54.25,0,22.75,0,0,0,0.25,1.25695589
Devon,SS22Q,226,120,226,120,226120,226120,226500,120500,0,0,1,0,,3,1,2,0,1,1,0,0,0,1.75,14,3.5,60.5,0,19,0,0,0,1.5,1.145950487
Devon,SS22R,226,122,226,122,226122,226122,226500,122500,0,0,1,0,,3,2,3,2,0,0,0,0,0,1.75,0,45.75,51.5,0,0.25,0,0,0,0.75,0.821975385
Devon,SS22S,226,124,226,124,226124,226124,226500,124500,0,0,1,0,,3,2,3,2,0,0,0,0,0,7.5,0,38.75,46,0,0.25,0,0,0,7.25,1.124069453
Devon,SS22T,226,126,226,126,226126,226126,226500,126500,0,0,1,0,,3,4,3,4,0,0,0,0,0,1.75,0,32,29.5,0,6.75,0,0,4.75,1,1.168286535
Devon,SX29Z,228,98,228,098,228098,22898,228500,98500,0,0,1,0,,2,3,2,3,0,0,0,0,0,9,0,22.5,68,0,0,0,0,0,0.75,0.851284331
Devon,SS20V,228,100,228,100,228100,228100,228500,100500,0,0,1,0,,3,2,3,2,0,0,0,0,0,4.5,0,32.75,62,0,0,0,0,0,1.25,0.856284221
Devon,SS20W,228,102,228,102,228102,228102,228500,102500,0,0,1,0,,2,0,2,0,0,0,0,0,0,8,0,13.25,77.25,0,0,0,0,0,2,0.747504352
Devon,SS20X,228,104,228,104,228104,228104,228500,104500,0,0,1,0,,2,0,2,0,0,0,0,0,0,3.5,0,27.5,68,0,0,0,0,0,1.25,0.789380722
Devon,SS20Y,228,106,228,106,228106,228106,228500,106500,0,0,1,0,,6,2,4,2,2,0,0,0,0,8.5,5,24.25,51.25,0,10.5,0,0,0,0.25,1.297093291
Devon,SS20Z,228,108,228,108,228108,228108,228500,108500,0,0,1,0,,4,5,4,5,0,0,0,0,0,7.5,2,11.75,74.5,0,2.5,0,0,0,1.5,0.898639241
Devon,SS21V,228,110,228,110,228110,228110,228500,110500,0,0,1,0,,5,5,4,4,1,1,0,0,0,5.5,0,15.5,71.25,0,0.25,0,6,0,1.5,0.93679322
Devon,SS21W,228,112,228,112,228112,228112,228500,112500,0,4,0,0,,1,1,1,1,0,0,0,0,0,3.75,1.5,7.75,80.75,0,0,0,6.75,0,0.25,0.753915009
Devon,SS21X,228,114,228,114,228114,228114,228500,114500,0,0,1,0,,1,0,1,0,0,0,0,0,0,4,6.5,9.75,74,0.25,5,0,0,0,0.75,0.957673922
Devon,SS21Y,228,116,228,116,228116,228116,228500,116500,0,0,1,0,,4,2,3,2,1,0,0,0,0,6.5,10.25,15.5,61.25,1.25,4.25,0,0,0,1.25,1.244151798
Devon,SS21Z,228,118,228,118,228118,228118,228500,118500,0,2,0,0,,2,0,2,0,0,0,0,0,0,7,26,5.5,54.75,0,4.75,0,0.5,0,1.75,1.267743137
Devon,SS22V,228,120,228,120,228120,228120,228500,120500,0,0,1,0,,0,0,0,0,0,0,0,0,0,0.75,24.25,44.5,26,0,4,0,0.25,0,0.5,1.261031606
Devon,SS22W,228,122,228,122,228122,228122,228500,122500,0,0,1,0,,2,4,2,3,0,1,0,0,0,2.75,0,53.5,43,0,0,0,0,0,1,0.842418352
Devon,SS22X,228,124,228,124,228124,228124,228500,124500,3,1,0,20,"Hescott Shoot Hartland Bideford, Devon https://www.gunsonpegs.com/shoots/devon/hescott-shoot-hartland pheasant, Driven. 30-40 in a bag/day, predominantly pheasant",3,3,3,3,0,0,0,0,0,30,3.75,19.75,44.5,0,1,0,0,0,1.25,1.265803255
Devon,SS22Y,228,126,228,126,228126,228126,228500,126500,0,0,1,0,,7,9,7,7,0,2,0,0,0,9.25,0,10,7,0.5,6,0,0,4.75,0.25,0.991615881
Devon,SX39D,230,96,230,096,230096,23096,230500,96500,0,0,1,0,,2,2,2,2,0,0,0,0,0,5.5,0,12.75,81,0,0,0,0,0,0.75,0.629507604
Devon,SX39E,230,98,230,098,230098,23098,230500,98500,0,0,1,0,,0,0,0,0,0,0,0,0,0,13.5,4.25,24.5,55.75,0,0,0,0,0,1.5,1.137891124
Devon,SS30A,230,100,230,100,230100,230100,230500,100500,1,1,0,0,,2,2,2,2,0,0,0,0,0,6.25,0,28.25,59.5,0,5,0,0.25,0,0.75,1.040770493
Devon,SS30B,230,102,230,102,230102,230102,230500,102500,0,0,1,0,,2,0,2,0,0,0,0,0,0,7.75,0,23.75,62.75,0,1.75,0,0,0,4,1.031606081
Devon,SS30C,230,104,230,104,230104,230104,230500,104500,0,0,1,0,,2,2,2,2,0,0,0,0,0,6.25,0.5,26.5,65.5,0,0.25,0,0,0,0.75,0.880523809
Devon,SS30D,230,106,230,106,230106,230106,230500,106500,0,0,1,0,,2,2,2,2,0,0,0,0,0,6,0.5,22.25,60.75,0,10.25,0,0,0,0.25,1.080918025
