County,5figgrid,gamecov_present,gamecov_poss,gamecov_absent,pheasant_breed,pheasant_wint,rlp_breed,rlp_wint,broad_wood,conif_wood,arable,imp_grass,semnat_grass,mountain,saltwater,freshwater,coastal,built_up,habitat_div_shannon,GridType,GridArea,SPA,SAC,SSSI,PA,PA_suit,X,Y
Devon,SS21D,0,0,1,0,0,0,0,5.75,0,16.25,27.75,1.5,5.5,0,0,15,1,1.368368623,Tetrad (2 km square),4000179.93585101,0,0.2847128369798507,0.2847128455327622,0.28471292544307525,0.2847129254430752,220997.73655722645,116999.73924400643
Devon,SS21E,0,0,1,2,1,0,0,6.75,0,2.25,11.75,0,9.75,0,0,10.5,0.75,1.019245401,Tetrad (2 km square),4000161.43432754,0,0.19919247490356848,0.1991924836899442,0.19919248757794267,0.19919248752408492,220997.74834752467,118999.77004038003
Devon,SS22A,0,0,1,2,3,0,0,0,0,3.5,0.75,0,4.25,0,0,5.75,0,0.452474615,Tetrad (2 km square),4000167.01059833,0,0.09904782065569172,0.09904781563419515,0.09904790350927056,0.09904790350927056,220997.76200320126,120999.79453791423
Devon,SS21I,0,0,1,2,0,0,0,31.75,0,12,52.5,0,0,0,0,0,3.5,1.074313904,Tetrad (2 km square),4000178.93146452,0,0.2685188215283099,0.2685188220964959,0.26851883200089355,0.26851883200089366,222997.7827309673,116999.72881595178
Devon,SS21J,0,0,1,4,2,1,0,25.25,0,29.25,43,0,1,0,0,0,1.5,1.17904878,Tetrad (2 km square),4000146.95367354,0,0,0,0,0,222997.80185769522,118999.76641451131
Devon,SS22F,0,0,1,4,2,2,0,2.5,0,64.25,22.25,0,4.25,0,0,3.75,2,1.046430017,Tetrad (2 km square),4000123.97963023,0,0.07814080536733753,0.07814080147866477,0.07814083610731268,0.07814083610731268,222997.8146277491,120999.78816557517
Devon,SS22G,0,0,1,3,2,2,0,7.75,0,20.25,42.75,0,3.25,0,0,17.25,0.75,1.336092432,Tetrad (2 km square),4000128.37886877,0,0.21883041874339854,0.218830402049939,0.21883055223745443,0.21883055169984894,222997.82781465104,122999.80394178469
Devon,SS22H,0,0,1,2,0,0,0,6.5,0,19.75,34,0,5.75,0,0,18.25,2.5,1.431686215,Tetrad (2 km square),4000131.51752749,0,0.21211735883869023,0.21204623509959541,0.2121820411753791,0.21218204117537984,222997.83901772418,124999.82407456865
Devon,SS22I,0,0,1,2,2,0,0,1.25,0,20.75,19.5,0,7.75,0,0,14.25,0.75,1.212421944,Tetrad (2 km square),4000111.15632607,0,0.2184702273343422,0.22477238964582064,0.22477242938569483,0.22477242938569555,222997.8447590738,126999.84950022784
Devon,SS20K,0,0,1,0,2,0,0,13.75,0,4.75,80,0,0,0,0,0,2,0.674307078,Tetrad (2 km square),4000127.70019904,0,0,0,0,0,224997.72199941843,100999.37718506604
Devon,SS20L,0,0,1,2,2,0,0,1.75,0,14.75,83.75,0,0,0,0,0,0.25,0.516597349,Tetrad (2 km square),4000108.81700829,0,0,0,0,0,224997.7379504594,102999.39948169269
